state_residence,district_residence,Date,new_case,negative_case,Failed_test,Total_test,Invalid,Rejected,Rejected (sample leakage),-select result-
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2021-01-11,0,14,0,14,,,,
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2021-01-12,0,15,0,15,,,,
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2021-01-13,0,13,0,13,,,,
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2021-01-14,1,3,0,4,,,,
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2021-01-15,0,20,0,20,,,,
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021-01-11,0,8,0,8,,,,
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021-01-12,0,39,0,39,,,,
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021-01-13,1,6,0,7,,,,
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021-01-14,1,8,0,9,,,,
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021-01-15,0,6,0,6,,,,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2021-01-11,1,571,0,572,,,,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2021-01-12,1,595,0,596,,,,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2021-01-13,0,488,0,488,,,,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2021-01-14,1,212,0,213,,,,
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2021-01-15,0,487,0,487,,,,
ANDHRA PRADESH,ANANTAPUR,2021-01-11,6,1860,0,1866,,,,
ANDHRA PRADESH,ANANTAPUR,2021-01-12,23,3232,0,3255,,,,
ANDHRA PRADESH,ANANTAPUR,2021-01-13,9,6287,0,6296,,,,
ANDHRA PRADESH,ANANTAPUR,2021-01-14,4,4295,0,4299,,,,
ANDHRA PRADESH,ANANTAPUR,2021-01-15,3,1987,1,1991,,,,
ANDHRA PRADESH,CHITTOOR,2021-01-11,35,3733,0,3768,,,,
ANDHRA PRADESH,CHITTOOR,2021-01-12,22,2918,0,2940,,,,
ANDHRA PRADESH,CHITTOOR,2021-01-13,47,3865,0,3912,,,,
ANDHRA PRADESH,CHITTOOR,2021-01-14,17,2774,0,2791,,,,
ANDHRA PRADESH,CHITTOOR,2021-01-15,18,2061,0,2079,,,,
ANDHRA PRADESH,EAST GODAVARI,2021-01-11,20,3146,0,3166,,,,
ANDHRA PRADESH,EAST GODAVARI,2021-01-12,32,2091,0,2123,,,,
ANDHRA PRADESH,EAST GODAVARI,2021-01-13,17,1398,1,1416,,,,
ANDHRA PRADESH,EAST GODAVARI,2021-01-14,16,964,0,980,,,,
ANDHRA PRADESH,EAST GODAVARI,2021-01-15,16,428,0,444,,,,
ANDHRA PRADESH,GUNTUR,2021-01-11,30,1664,0,1694,,,,
ANDHRA PRADESH,GUNTUR,2021-01-12,42,3189,0,3231,,,,
ANDHRA PRADESH,GUNTUR,2021-01-13,26,4182,0,4208,,,,
ANDHRA PRADESH,GUNTUR,2021-01-14,14,1381,0,1395,,,,
ANDHRA PRADESH,GUNTUR,2021-01-15,9,1513,0,1522,,,,
ANDHRA PRADESH,KRISHNA,2021-01-11,36,1491,0,1527,,,,
ANDHRA PRADESH,KRISHNA,2021-01-12,51,2603,0,2654,,,,
ANDHRA PRADESH,KRISHNA,2021-01-13,30,3203,0,3233,,,,
ANDHRA PRADESH,KRISHNA,2021-01-14,13,3547,0,3560,,,,
ANDHRA PRADESH,KRISHNA,2021-01-15,21,731,0,752,,,,
ANDHRA PRADESH,KURNOOL,2021-01-11,6,1955,0,1961,,,,
ANDHRA PRADESH,KURNOOL,2021-01-12,5,2381,0,2386,,,,
ANDHRA PRADESH,KURNOOL,2021-01-13,19,3824,0,3843,,,,
ANDHRA PRADESH,KURNOOL,2021-01-14,2,3484,0,3486,,,,
ANDHRA PRADESH,KURNOOL,2021-01-15,9,1137,0,1146,,,,
ANDHRA PRADESH,PRAKASAM,2021-01-11,13,2879,0,2892,,,,
ANDHRA PRADESH,PRAKASAM,2021-01-12,2,2320,0,2322,,,,
ANDHRA PRADESH,PRAKASAM,2021-01-13,4,2603,0,2607,,,,
ANDHRA PRADESH,PRAKASAM,2021-01-14,6,3889,0,3895,,,,
ANDHRA PRADESH,PRAKASAM,2021-01-15,4,1737,0,1741,,,,
ANDHRA PRADESH,SPSR NELLORE,2021-01-11,9,4364,1,4374,,,,
ANDHRA PRADESH,SPSR NELLORE,2021-01-12,8,2755,0,2763,,,,
ANDHRA PRADESH,SPSR NELLORE,2021-01-13,7,2599,0,2606,,,,
ANDHRA PRADESH,SPSR NELLORE,2021-01-14,6,494,0,500,,,,
ANDHRA PRADESH,SPSR NELLORE,2021-01-15,5,2142,0,2147,,,,
ANDHRA PRADESH,SRIKAKULAM,2021-01-11,3,1612,0,1615,,,,
